Timestamp,Open,High,Low,Close,Volume,Quote Asset Volume,Number of Trades,Taker Buy Asset Volume,Taker Quote Asset Volume
1587567960000,15.6783,15.6938,15.6783,15.6837,444.98,6981.291323,17.0,407.83,6398.531908
1587568020000,15.6887,15.6888,15.6844,15.6866,777.08,12190.075492,19.0,566.7,8889.943767
1587568080000,15.6817,15.6817,15.6589,15.6589,2301.84,36057.98213500001,115.0,302.36,4737.227168
1587568140000,15.6589,15.6899,15.6358,15.6899,7253.83,113585.105147,278.0,5784.36,90592.736371
1587568200000,15.6897,15.6899,15.6772,15.6856,1097.83,17219.406984999998,56.0,516.95,8110.041315
1587568260000,15.6856,15.6856,15.675,15.6791,429.57,6734.969328,37.0,250.28,3923.695731
1587568320000,15.6791,15.68,15.6761,15.6779,1517.67,23793.790859,43.0,673.12,10553.352359
1587568380000,15.6778,15.6779,15.6607,15.6746,1037.33,16257.854479,48.0,208.09,3260.450545
1587568440000,15.6736,15.6779,15.6725,15.6778,1234.33,19349.796781,53.0,998.91,15659.338713999998
1587568500000,15.6772,15.6954,15.6772,15.6954,2296.98,36018.465719,67.0,2037.52,31947.533954
1587568560000,15.6954,15.7,15.6922,15.699000000000002,1016.79,15961.449188,67.0,768.4,12062.576509
1587568620000,15.6989,15.7099,15.6967,15.7089,2735.07,42943.137619,70.0,2719.65,42701.09442
1587568680000,15.7085,15.71,15.7048,15.71,1002.42,15746.78356,46.0,788.23,12382.280644
1587568740000,15.7099,15.7139,15.7096,15.7139,295.75,4646.351099,23.0,265.14,4165.477312
1587568800000,15.7141,15.726,15.6924,15.7019,2343.13,36820.446041,92.0,882.34,13868.7951
1587568860000,15.7015,15.7241,15.7015,15.7201,965.11,15164.908763,54.0,685.05,10764.313002
1587568920000,15.7252,15.7401,15.7208,15.7293,3192.89,50236.653127,137.0,1651.91,25990.225175
1587568980000,15.7406,15.7579,15.7396,15.7502,1249.58,19680.762526,102.0,986.47,15537.471602
1587569040000,15.7505,15.7592,15.7352,15.7587,1560.53,24580.544858,67.0,600.28,9457.881815
1587569100000,15.7597,15.7631,15.7538,15.76,1642.68,25888.95947,60.0,1362.7,21476.567754
1587569160000,15.76,15.76,15.7356,15.7429,2933.06,46195.077583,62.0,338.26,5325.583414
1587569220000,15.7429,15.7429,15.73,15.7373,1596.75,25127.265726,57.0,933.19,14685.349516
1587569280000,15.7373,15.7373,15.7276,15.729,722.61,11367.953859,24.0,483.61,7608.665651
1587569340000,15.729,15.736,15.7192,15.7192,1125.33,17700.123598,50.0,682.76,10739.273357
1587569400000,15.7203,15.7349,15.717,15.72,956.86,15046.111777000002,44.0,356.84,5610.903454
1587569460000,15.7134,15.73,15.7134,15.7272,897.26,14108.126574000002,32.0,194.42,3057.41656
1587569520000,15.7274,15.7297,15.723,15.7254,613.18,9643.379001,21.0,586.03,9216.429639
1587569580000,15.7275,15.7373,15.7251,15.73,2133.51,33565.492728,74.0,1561.72,24569.643756
1587569640000,15.73,15.7373,15.7299,15.7373,524.09,8245.784721,37.0,484.03,7615.555023000001
1587569700000,15.7324,15.7324,15.7194,15.7202,596.66,9382.337461,23.0,188.38,2962.485148
1587569760000,15.7247,15.7299,15.719,15.7214,794.33,12491.161294,28.0,582.64,9163.444281
1587569820000,15.7132,15.7148,15.7,15.7048,1358.04,21329.965518,54.0,219.82,3452.529688
1587569880000,15.7002,15.7257,15.7,15.7257,1385.24,21759.502148,88.0,893.6,14040.120936
1587569940000,15.7246,15.7247,15.7075,15.7095,615.86,9676.520009,33.0,238.05,3740.566626
1587570000000,15.7095,15.7154,15.7063,15.715,1130.29,17754.897199000006,27.0,504.37,7923.065049
1587570060000,15.7106,15.7167,15.7051,15.7167,1363.41,21422.192462,30.0,913.26,14350.88899
1587570120000,15.7167,15.725,15.7101,15.7198,11533.75,181215.187989,85.0,1053.91,16563.979821
1587570180000,15.7189,15.7285,15.7066,15.7263,11435.37,179744.57158699995,119.0,1515.99,23826.643518
1587570240000,15.7263,15.7299,15.7136,15.7299,843.78,13269.167379,66.0,749.95,11794.21102
1587570300000,15.7299,15.7299,15.7151,15.7216,12219.92,192058.678172,96.0,1468.1,23084.867734
1587570360000,15.7253,15.7268,15.7092,15.720999999999998,8500.5,133559.507168,96.0,651.65,10243.018463
1587570420000,15.7164,15.7243,15.7164,15.7174,1291.22,20295.975854,25.0,517.6,8135.917332999998
1587570480000,15.7164,15.7196,15.7147,15.7147,454.66,7146.28771,27.0,331.46,5210.003902
1587570540000,15.7124,15.717,15.7107,15.7169,1220.89,19184.848004,30.0,538.63,8464.400335
1587570600000,15.7169,15.7171,15.7169,15.7171,589.13,9259.374025,19.0,385.46,6058.308736
